"Label (Grouping)","Washington city, District of Columbia, District of Columbia!!Count","Washington city, District of Columbia, District of Columbia!!Percent"
"Under 18 years","95,013","13.8%"
"Grandchild","16,501","2.4%"
"Grandchild Under 18 years","11,253","1.6%"
"Other relatives","28,969","4.2%"
"Nonrelatives","49,060","7.1%"
"In group quarters","40,682","5.9%"
"Institutionalized population:","5,606","0.8%"
"Institutionalized population Male","3,990","0.6%"
"Institutionalized population Female","1,616","0.2%"
"Noninstitutionalized population:","35,076","5.1%"
"Noninstitutionalized population Male","15,562","2.3%"
"Noninstitutionalized population Female","19,514","2.8%"
"HOUSEHOLDS BY TYPE","",""
"Total households","312,448","100.0%"
"Married couple household","75,737","24.2%"
"Married couple household With own children under 18 [3]","28,782","9.2%"
"Cohabiting couple household","25,330","8.1%"
"Cohabiting couple household With own children under 18 [3]","3,778","1.2%"
"Male householder, no spouse or partner present:","80,306","25.7%"
"Male householder, no spouse or partner present Living alone","59,411","19.0%"
"Male householder, no spouse or partner present Living alone 65 years and over","11,897","3.8%"
"Male householder, no spouse or partner present With own children under 18 [3]","3,278","1.0%"
"Female householder, no spouse or partner present:","131,075","42.0%"
"Female householder, no spouse or partner present Living alone","77,154","24.7%"
"Female householder, no spouse or partner present Living alone 65 years and over","21,000","6.7%"
"Female householder, no spouse or partner present With own children under 18 [3]","18,573","5.9%"
"Households with individuals under 18 years","64,658","20.7%"
"Households with individuals 65 years and over","68,858","22.0%"
"HOUSING OCCUPANCY","",""
"Total housing units","350,364","100.0%"
"Occupied housing units","312,448","89.2%"
"Vacant housing units","37,916","10.8%"
"For rent","19,857","5.7%"
"Rented, not occupied","2,146","0.6%"
"For sale only","2,941","0.8%"
"Sold, not occupied","1,283","0.4%"
"For seasonal, recreational, or occasional use","2,820","0.8%"
"All other vacants","8,869","2.5%"
"VACANCY RATES","",""
"Homeowner vacancy rate (percent) [4]","2.4","(X)"
"Rental vacancy rate (percent) [5]","9.2","(X)"
"HOUSING TENURE","",""
"Occupied housing units","312,448","100.0%"
"Owner-occupied housing units","119,745","38.3%"
"Renter-occupied housing units","192,703","61.7%"
